model,recall,precision
VGG16,0.8,0.9397590361445783
VGG16,0.7974358974358975,0.9395770392749244
VGG16,0.7974358974358975,0.9424242424242424
VGG16,0.7948717948717948,0.9422492401215805
VGG16,0.7923076923076923,0.9420731707317073
VGG16,0.7897435897435897,0.9418960244648318
VGG16,0.7871794871794872,0.941717791411043
VGG16,0.7871794871794872,0.9446153846153846
VGG16,0.7846153846153846,0.9444444444444444
VGG16,0.782051282051282,0.9442724458204335
VGG16,0.7794871794871795,0.9440993788819876
VGG16,0.7794871794871795,0.9470404984423676
VGG16,0.7769230769230769,0.946875
VGG16,0.7743589743589744,0.9467084639498433
VGG16,0.7717948717948718,0.9465408805031447
VGG16,0.7692307692307693,0.9463722397476341
VGG16,0.7666666666666667,0.9462025316455697
VGG16,0.764102564102564,0.946031746031746
VGG16,0.7615384615384615,0.945859872611465
VGG16,0.7589743589743589,0.9456869009584664
VGG16,0.7564102564102564,0.9455128205128205
VGG16,0.7538461538461538,0.9453376205787781
VGG16,0.7512820512820513,0.9451612903225807
VGG16,0.7487179487179487,0.9449838187702265
VGG16,0.7487179487179487,0.948051948051948
VGG16,0.7461538461538462,0.9478827361563518
VGG16,0.7435897435897436,0.9477124183006536
VGG16,0.7410256410256411,0.9475409836065574
VGG16,0.7384615384615385,0.9473684210526315
VGG16,0.735897435897436,0.9471947194719472
VGG16,0.7333333333333333,0.9470198675496688
VGG16,0.7307692307692307,0.946843853820598
VGG16,0.7282051282051282,0.9466666666666667
VGG16,0.7256410256410256,0.9464882943143813
VGG16,0.7230769230769231,0.9463087248322147
VGG16,0.7205128205128205,0.9461279461279462
VGG16,0.717948717948718,0.9459459459459459
VGG16,0.7153846153846154,0.9457627118644067
VGG16,0.7128205128205128,0.9455782312925171
VGG16,0.7102564102564103,0.9453924914675768
VGG16,0.7076923076923077,0.9452054794520548
VGG16,0.7051282051282052,0.9450171821305842
VGG16,0.7025641025641025,0.9448275862068966
VGG16,0.7,0.9446366782006921
VGG16,0.6974358974358974,0.9444444444444444
VGG16,0.6948717948717948,0.9442508710801394
VGG16,0.6923076923076923,0.9440559440559441
VGG16,0.6897435897435897,0.9438596491228071
VGG16,0.6871794871794872,0.9436619718309859
VGG16,0.6846153846153846,0.9434628975265018
VGG16,0.6846153846153846,0.9468085106382979
VGG16,0.6820512820512821,0.9466192170818505
VGG16,0.6820512820512821,0.95
VGG16,0.6794871794871795,0.9498207885304659
VGG16,0.676923076923077,0.9496402877697842
VGG16,0.6743589743589744,0.9494584837545126
VGG16,0.6717948717948717,0.9492753623188406
VGG16,0.6692307692307692,0.9490909090909091
VGG16,0.6666666666666666,0.948905109489051
VGG16,0.6641025641025641,0.9487179487179487
VGG16,0.6615384615384615,0.9485294117647058
VGG16,0.658974358974359,0.948339483394834
VGG16,0.6564102564102564,0.9481481481481482
VGG16,0.6538461538461539,0.9479553903345725
VGG16,0.6512820512820513,0.9477611940298507
VGG16,0.6487179487179487,0.947565543071161
VGG16,0.6461538461538462,0.9473684210526315
VGG16,0.6461538461538462,0.9509433962264151
VGG16,0.6461538461538462,0.9545454545454546
VGG16,0.6435897435897436,0.9543726235741445
VGG16,0.6384615384615384,0.9540229885057471
VGG16,0.6358974358974359,0.9538461538461539
VGG16,0.6307692307692307,0.9534883720930233
VGG16,0.6282051282051282,0.953307392996109
VGG16,0.6256410256410256,0.953125
VGG16,0.6230769230769231,0.9529411764705882
VGG16,0.6205128205128205,0.952755905511811
VGG16,0.617948717948718,0.9525691699604744
VGG16,0.6153846153846154,0.9523809523809523
VGG16,0.6128205128205129,0.952191235059761
VGG16,0.6102564102564103,0.952
VGG16,0.6076923076923076,0.9518072289156626
VGG16,0.6051282051282051,0.9516129032258065
VGG16,0.6025641025641025,0.951417004048583
VGG16,0.6,0.9512195121951219
VGG16,0.6,0.9551020408163265
VGG16,0.5974358974358974,0.9549180327868853
VGG16,0.5948717948717949,0.9547325102880658
VGG16,0.5923076923076923,0.9545454545454546
VGG16,0.5897435897435898,0.9543568464730291
VGG16,0.5871794871794872,0.9541666666666667
VGG16,0.5846153846153846,0.9539748953974896
VGG16,0.5820512820512821,0.9537815126050421
VGG16,0.5820512820512821,0.9578059071729957
VGG16,0.5794871794871795,0.9576271186440678
VGG16,0.5794871794871795,0.9617021276595744
